time,ARM,NVDA,TSM
14/9/2023,63.59,45.56,89.85
15/9/2023,60.75,43.88,87.67
18/9/2023,58.00,43.95,87.26
19/9/2023,55.17,43.50,86.61
20/9/2023,52.91,42.22,85.75
21/9/2023,52.16,41.00,83.85
22/9/2023,51.32,41.59,84.12
25/9/2023,54.44,42.20,84.71
26/9/2023,53.52,41.89,82.80
27/9/2023,52.99,42.45,83.93
28/9/2023,55.49,43.07,84.88
29/9/2023,53.52,43.48,85.36
2/10/2023,52.26,44.76,86.10
3/10/2023,51.57,43.50,83.90
4/10/2023,53.46,44.02,85.14
5/10/2023,52.51,44.67,85.49
6/10/2023,54.08,45.74,87.71
9/10/2023,54.25,45.25,87.41
10/10/2023,55.71,45.78,89.01
11/10/2023,54.68,46.78,90.37
12/10/2023,51.85,46.92,90.78
13/10/2023,50.78,45.44,88.86
16/10/2023,52.09,46.07,89.61
17/10/2023,52.29,43.92,89.39
18/10/2023,51.90,42.18,88.01
19/10/2023,49.74,42.08,91.27
20/10/2023,47.87,41.37,89.69
23/10/2023,50.21,42.96,89.50
24/10/2023,52.37,43.64,90.02
25/10/2023,49.44,41.76,86.09
26/10/2023,50.17,40.31,85.90
27/10/2023,49.09,40.48,84.47
30/10/2023,47.90,41.14,84.54
31/10/2023,49.29,40.76,84.78
1/11/2023,50.52,42.31,86.25
2/11/2023,52.82,43.49,88.88
3/11/2023,53.49,44.98,90.17
6/11/2023,53.10,45.73,90.96
7/11/2023,55.27,45.93,90.77
8/11/2023,54.40,46.55,90.37
9/11/2023,51.58,46.93,90.00
10/11/2023,52.27,48.31,95.72
13/11/2023,51.69,48.60,94.71
14/11/2023,53.43,49.63,97.16
15/11/2023,55.43,48.87,97.05
16/11/2023,54.23,49.46,96.80
17/11/2023,54.99,49.28,97.82
20/11/2023,58.68,50.39,98.19
21/11/2023,58.66,49.92,96.67
22/11/2023,61.76,48.69,96.90
24/11/2023,63.88,47.75,96.10
27/11/2023,61.00,48.22,95.49
28/11/2023,61.92,47.80,96.25
29/11/2023,62.21,48.12,97.13
30/11/2023,61.50,46.75,95.59
1/12/2023,63.90,46.74,96.81
4/12/2023,61.93,45.49,95.29
5/12/2023,63.59,46.55,94.98
6/12/2023,61.06,45.49,96.12
7/12/2023,62.44,46.58,97.53
8/12/2023,67.23,47.49,98.57
11/12/2023,64.89,46.61,99.16
12/12/2023,64.71,47.64,99.80
13/12/2023,65.61,48.07,100.31
14/12/2023,70.74,48.33,102.00
15/12/2023,71.03,48.87,101.10
18/12/2023,68.87,50.06,101.49
19/12/2023,69.43,49.59,102.41
20/12/2023,68.40,48.09,98.64
21/12/2023,71.20,48.97,101.11
22/12/2023,72.29,48.81,101.70
26/12/2023,73.41,49.26,102.99
27/12/2023,74.25,49.40,103.18
28/12/2023,77.47,49.50,103.23
29/12/2023,75.15,49.50,102.54
2/1/2024,68.92,48.15,100.11
3/1/2024,67.91,47.55,98.77
4/1/2024,68.39,47.98,97.74
5/1/2024,67.05,49.08,98.21
8/1/2024,72.84,52.23,100.81
9/1/2024,71.88,53.12,100.46
10/1/2024,70.77,54.33,99.39
11/1/2024,69.77,54.80,99.80
12/1/2024,70.00,54.69,99.82
16/1/2024,68.48,56.36,100.25
17/1/2024,69.86,56.03,101.51
18/1/2024,74.23,57.09,111.45
19/1/2024,78.58,59.47,112.60
22/1/2024,77.11,59.63,111.45
23/1/2024,76.35,59.85,112.53
24/1/2024,75.74,61.34,114.89
25/1/2024,73.91,61.59,114.93
26/1/2024,71.17,61.01,115.62
29/1/2024,72.93,62.44,115.34
30/1/2024,71.97,62.75,114.43
31/1/2024,70.67,61.50,111.38
1/2/2024,70.52,63.00,111.80
2/2/2024,71.00,66.14,114.13
5/2/2024,73.27,69.31,117.13
6/2/2024,72.98,68.20,117.71
7/2/2024,77.01,70.07,123.23
8/2/2024,113.89,69.61,131.86
9/2/2024,115.21,72.11,131.24
12/2/2024,148.97,72.22,128.63
13/2/2024,119.98,72.10,125.76
14/2/2024,126.40,73.87,127.46
15/2/2024,133.68,72.63,127.22
16/2/2024,128.34,72.59,124.91
20/2/2024,121.77,69.43,123.57
21/2/2024,123.39,67.45,123.58
22/2/2024,128.53,78.51,127.26
23/2/2024,133.34,78.79,127.71
26/2/2024,146.20,79.06,128.81
27/2/2024,137.95,78.67,126.79
28/2/2024,133.86,77.63,125.60
29/2/2024,141.04,79.08,126.87
1/3/2024,141.62,82.25,132.02
4/3/2024,138.01,85.21,136.32
5/3/2024,134.07,85.94,133.08
6/3/2024,136.99,88.67,139.59
7/3/2024,140.85,92.64,147.11
8/3/2024,131.48,87.50,144.32
11/3/2024,126.74,85.75,137.07
12/3/2024,129.50,91.88,142.38
13/3/2024,131.27,90.86,140.15
14/3/2024,130.96,87.92,137.66
15/3/2024,126.97,87.81,135.06
18/3/2024,129.75,88.43,135.16
19/3/2024,124.59,89.37,133.41
20/3/2024,131.33,90.34,135.27
21/3/2024,133.60,91.40,137.94
22/3/2024,134.15,94.26,139.01
25/3/2024,138.31,94.97,138.71
26/3/2024,127.96,92.53,137.33
27/3/2024,125.62,90.22,135.21
28/3/2024,124.99,90.33,134.57
1/4/2024,126.91,90.33,139.95
2/4/2024,124.28,89.42,138.70
3/4/2024,125.31,88.93,140.46
4/4/2024,122.01,85.88,138.14
5/4/2024,124.82,87.98,139.83
8/4/2024,129.25,87.10,141.24
9/4/2024,126.81,85.33,143.82
10/4/2024,125.18,87.01,144.63
11/4/2024,131.13,90.59,145.60
12/4/2024,126.33,88.16,140.97
15/4/2024,122.32,85.97,138.62
16/4/2024,122.22,87.39,138.28
17/4/2024,107.56,84.01,137.52
18/4/2024,104.92,84.64,130.83
19/4/2024,87.19,76.17,126.31
22/4/2024,93.11,79.49,128.34
23/4/2024,96.04,82.40,131.98
24/4/2024,99.88,79.65,131.53
25/4/2024,97.93,82.60,135.10
26/4/2024,101.95,87.71,136.80
29/4/2024,103.24,87.73,137.00
30/4/2024,101.21,86.37,135.85
1/5/2024,95.29,83.01,133.48
2/5/2024,98.00,85.79,134.75
3/5/2024,101.70,88.76,140.02
6/5/2024,106.98,92.11,141.28
7/5/2024,107.80,90.52,139.58
8/5/2024,106.07,90.38,142.04
9/5/2024,103.59,88.72,141.24
10/5/2024,108.84,89.85,147.64
13/5/2024,117.23,90.37,144.82
14/5/2024,116.65,91.33,150.30
15/5/2024,113.67,94.60,153.89
16/5/2024,114.27,94.33,150.58
17/5/2024,110.35,92.45,150.03
20/5/2024,110.46,94.75,151.88
21/5/2024,114.77,95.35,152.00
22/5/2024,112.43,94.92,154.45
23/5/2024,112.53,103.76,155.38
24/5/2024,114.64,106.43,158.26
28/5/2024,124.94,113.86,157.68
29/5/2024,120.65,114.79,152.66
30/5/2024,120.73,110.46,151.30
31/5/2024,120.52,109.60,149.40
3/6/2024,127.12,114.96,153.27
4/6/2024,125.86,116.40,150.81
5/6/2024,136.67,122.40,161.15
6/6/2024,137.13,120.96,160.31
7/6/2024,136.57,120.85,162.61
10/6/2024,139.91,121.75,166.33
11/6/2024,143.92,120.88,163.91
12/6/2024,155.59,125.17,171.10
13/6/2024,158.05,129.58,171.46
14/6/2024,157.89,131.85,171.06
17/6/2024,160.29,130.95,175.75
18/6/2024,174.13,135.55,178.18
20/6/2024,160.77,130.75,173.91
21/6/2024,160.30,126.54,172.50
24/6/2024,151.07,118.08,166.40
25/6/2024,160.61,126.06,171.15
26/6/2024,164.72,126.37,170.62
27/6/2024,166.94,123.96,170.19
28/6/2024,163.62,123.51,172.35
1/7/2024,158.83,124.27,170.88
2/7/2024,163.46,122.64,174.22
3/7/2024,168.24,128.25,180.96
5/7/2024,181.19,125.80,182.44
8/7/2024,184.70,128.17,185.06
9/7/2024,182.28,131.35,182.97
10/7/2024,186.46,134.88,189.44
11/7/2024,173.19,127.37,182.95
12/7/2024,181.18,129.21,185.77
15/7/2024,177.53,128.41,183.66
16/7/2024,178.77,126.33,184.48
17/7/2024,161.70,117.96,169.76
18/7/2024,158.33,121.06,170.42
19/7/2024,163.40,117.90,164.38
22/7/2024,163.55,123.51,167.93
23/7/2024,171.70,122.56,168.39
24/7/2024,157.68,114.22,158.46
25/7/2024,149.14,112.25,158.93
26/7/2024,149.00,113.03,160.58
29/7/2024,141.44,111.56,158.66
30/7/2024,132.96,103.70,153.24
31/7/2024,144.17,116.99,164.41
1/8/2024,121.51,109.18,156.85
2/8/2024,113.45,107.24,148.60
5/8/2024,110.45,100.43,146.71
6/8/2024,113.39,104.22,154.08
7/8/2024,107.09,98.89,153.74
8/8/2024,118.43,104.94,163.17
9/8/2024,117.00,104.72,165.71
12/8/2024,117.13,108.99,166.22
13/8/2024,123.79,116.11,170.89
14/8/2024,125.92,118.05,168.54
15/8/2024,130.44,122.83,172.50
16/8/2024,130.30,124.55,173.07
19/8/2024,132.31,129.97,173.97
20/8/2024,129.95,127.22,170.59
21/8/2024,131.20,128.47,170.00
22/8/2024,129.72,123.71,165.04
23/8/2024,135.63,129.34,169.84
26/8/2024,128.90,126.43,167.65
27/8/2024,131.20,128.27,169.12
28/8/2024,125.32,125.58,167.78
29/8/2024,131.93,117.56,167.73
30/8/2024,132.88,119.34,170.26
3/9/2024,123.74,107.97,159.14
4/9/2024,120.95,106.18,159.52
5/9/2024,123.09,107.18,162.32
6/9/2024,117.29,102.80,155.50
9/9/2024,125.54,106.44,161.41
10/9/2024,127.22,108.07,161.06
11/9/2024,140.32,116.88,168.80
12/9/2024,139.18,119.12,170.48
13/9/2024,147.37,119.08,171.55
16/9/2024,138.40,116.76,168.15
17/9/2024,136.84,115.57,166.43
18/9/2024,138.36,113.35,166.36
19/9/2024,140.59,117.85,175.25
20/9/2024,138.90,115.98,173.12
23/9/2024,141.72,116.24,173.79
24/9/2024,143.30,120.85,180.96
25/9/2024,146.43,123.49,181.34
26/9/2024,149.16,124.02,185.80
27/9/2024,145.58,121.38,176.99
30/9/2024,143.01,121.42,172.71
1/10/2024,136.08,116.98,171.12
2/10/2024,137.03,118.83,174.83
3/10/2024,138.24,122.83,178.49
4/10/2024,140.55,124.90,180.16
7/10/2024,141.34,127.70,183.49
8/10/2024,143.60,132.87,185.02
9/10/2024,148.43,132.63,186.11
10/10/2024,149.33,134.79,184.75
11/10/2024,151.46,134.78,189.76
14/10/2024,161.82,138.05,191.15
15/10/2024,150.67,131.58,186.10
16/10/2024,152.50,135.70,186.44
17/10/2024,154.60,136.91,204.70
18/10/2024,153.03,137.98,199.67
21/10/2024,152.35,143.69,200.83
22/10/2024,152.58,143.57,197.38
23/10/2024,142.41,139.54,199.75
24/10/2024,141.04,140.39,196.84
25/10/2024,143.75,141.52,202.32
28/10/2024,150.02,140.50,193.60
29/10/2024,157.17,141.23,195.85
30/10/2024,154.40,139.31,193.41
31/10/2024,141.30,132.74,189.49
1/11/2024,141.48,135.38,191.88
4/11/2024,137.53,136.03,190.50
5/11/2024,140.65,139.89,194.68
6/11/2024,144.68,145.59,192.15
7/11/2024,150.65,148.86,200.08
8/11/2024,147.48,147.61,200.09
11/11/2024,141.97,145.24,192.98
12/11/2024,139.92,148.27,190.71
13/11/2024,135.09,146.25,185.63
14/11/2024,136.35,146.74,187.46
15/11/2024,128.73,141.96,184.98
18/11/2024,128.66,140.13,186.44
19/11/2024,133.06,146.99,188.62
20/11/2024,133.70,145.87,187.32
21/11/2024,133.14,146.65,190.18
22/11/2024,135.99,141.93,189.03
25/11/2024,139.68,136.00,184.06
26/11/2024,136.72,136.90,182.82
27/11/2024,133.37,135.32,180.19
29/11/2024,134.29,138.23,183.64
2/12/2024,140.34,138.61,193.33
3/12/2024,140.38,140.24,197.79
4/12/2024,141.30,145.12,199.58
5/12/2024,137.95,145.05,203.17
6/12/2024,140.89,142.43,201.90
9/12/2024,139.64,138.80,198.07
10/12/2024,137.29,135.06,190.88
11/12/2024,143.16,139.30,193.52
12/12/2024,148.00,137.33,190.87
13/12/2024,151.91,134.24,200.37
16/12/2024,145.00,131.99,201.60
17/12/2024,142.80,130.38,200.04
18/12/2024,136.56,128.90,194.96
19/12/2024,132.10,130.67,194.04
20/12/2024,132.15,134.69,196.61
23/12/2024,126.87,139.66,206.72
24/12/2024,131.79,140.21,205.70
26/12/2024,129.69,139.92,202.44
27/12/2024,129.20,137.00,201.01
30/12/2024,125.91,137.48,199.78
31/12/2024,123.36,134.28,196.88
2/1/2025,128.20,138.30,200.96
3/1/2025,141.08,144.46,207.97
6/1/2025,147.41,149.42,219.34
7/1/2025,144.38,140.13,210.77
8/1/2025,145.20,140.10,206.49
10/1/2025,140.49,135.90,207.73
13/1/2025,137.07,133.22,200.74
14/1/2025,140.06,131.75,200.83
15/1/2025,147.40,136.23,206.17
16/1/2025,147.52,133.56,214.13
17/1/2025,149.26,137.70,210.85
21/1/2025,155.20,140.82,218.03
22/1/2025,179.93,147.06,222.52
23/1/2025,166.56,147.21,223.93
24/1/2025,162.52,142.61,221.20
27/1/2025,145.96,118.41,191.72
28/1/2025,149.47,128.98,201.78
29/1/2025,147.60,123.69,201.71
30/1/2025,153.23,124.64,207.51
31/1/2025,159.55,120.06,208.68
3/2/2025,155.65,116.65,199.19
4/2/2025,162.20,118.64,203.42
5/2/2025,173.26,124.82,207.93
6/2/2025,167.47,128.67,209.85
7/2/2025,162.51,129.83,205.49
10/2/2025,160.84,133.56,207.31
11/2/2025,157.74,132.79,208.10
12/2/2025,155.41,131.13,205.75
13/2/2025,164.83,135.28,201.21
14/2/2025,159.54,138.84,203.28
18/2/2025,160.32,139.39,202.12
19/2/2025,154.36,139.22,200.33
20/2/2025,150.85,140.10,199.49
21/2/2025,144.84,134.42,197.63
24/2/2025,140.53,130.27,191.06
25/2/2025,136.70,126.62,188.79
26/2/2025,138.97,131.27,194.02
27/2/2025,130.34,120.14,180.53
28/2/2025,131.69,124.91,179.98
3/3/2025,121.10,114.05,172.44
4/3/2025,122.49,115.98,179.45
5/3/2025,124.78,117.29,183.72
6/3/2025,117.92,110.56,175.31
7/3/2025,125.55,112.68,176.56
10/3/2025,116.38,106.97,170.13
11/3/2025,111.49,108.75,170.45
12/3/2025,112.70,115.74,176.63
13/3/2025,112.05,115.58,171.06
14/3/2025,117.94,121.67,173.56
17/3/2025,121.37,119.53,175.70
18/3/2025,119.72,115.43,173.13
19/3/2025,117.91,117.52,173.76
20/3/2025,119.07,118.53,177.47
21/3/2025,118.56,117.71,176.52
